trajectory,time,lon,lat
4,2025-09-07 15:10:00,135.08018,33.476692
4,2025-09-07 15:20:00,135.08363,33.475117
4,2025-09-07 15:30:00,135.08577,33.47394
4,2025-09-07 15:40:00,135.088,33.473793
4,2025-09-07 15:50:00,135.08876,33.471928
4,2025-09-07 16:00:00,135.08904,33.46983
4,2025-09-07 16:10:00,135.09201,33.470455
4,2025-09-07 16:20:00,135.09254,33.468044
4,2025-09-07 16:30:00,135.0933,33.46705
5,2025-09-07 10:30:00,135.0,33.5
5,2025-09-07 10:40:00,135.00252,33.50026
5,2025-09-07 10:50:00,135.00536,33.499847
5,2025-09-07 11:00:00,135.00984,33.500557
5,2025-09-07 11:10:00,135.0132,33.50185
5,2025-09-07 11:20:00,135.01591,33.503227
5,2025-09-07 11:30:00,135.01826,33.503513
5,2025-09-07 11:40:00,135.02373,33.502728
5,2025-09-07 11:50:00,135.02687,33.50344
5,2025-09-07 12:00:00,135.02946,33.502357
5,2025-09-07 12:10:00,135.03316,33.50215
5,2025-09-07 12:20:00,135.03676,33.50155
5,2025-09-07 12:30:00,135.04007,33.500793
5,2025-09-07 12:40:00,135.04324,33.499943
5,2025-09-07 12:50:00,135.04802,33.497486
5,2025-09-07 13:00:00,135.05078,33.49784
5,2025-09-07 13:10:00,135.05382,33.497234
5,2025-09-07 13:20:00,135.05605,33.495293
5,2025-09-07 13:30:00,135.05939,33.493923
5,2025-09-07 13:40:00,135.06148,33.492935
5,2025-09-07 13:50:00,135.0644,33.491764
5,2025-09-07 14:00:00,135.06697,33.49139
5,2025-09-07 14:10:00,135.06964,33.49045
5,2025-09-07 14:20:00,135.07011,33.488335
5,2025-09-07 14:30:00,135.07285,33.487865
5,2025-09-07 14:40:00,135.07338,33.48629
5,2025-09-07 14:50:00,135.0745,33.48392
5,2025-09-07 15:00:00,135.07784,33.481735
5,2025-09-07 15:10:00,135.07976,33.47932
5,2025-09-07 15:20:00,135.08041,33.47816
5,2025-09-07 15:30:00,135.08305,33.47722
5,2025-09-07 15:40:00,135.08612,33.476078
5,2025-09-07 15:50:00,135.08685,33.475338
5,2025-09-07 16:00:00,135.08827,33.471325
5,2025-09-07 16:10:00,135.08913,33.467903
5,2025-09-07 16:20:00,135.08904,33.4676
5,2025-09-07 16:30:00,135.09079,33.46587
6,2025-09-07 10:30:00,135.0,33.5
6,2025-09-07 10:40:00,135.00479,33.500595
6,2025-09-07 10:50:00,135.00757,33.500652
6,2025-09-07 11:00:00,135.01126,33.503002
6,2025-09-07 11:10:00,135.01343,33.502537
6,2025-09-07 11:20:00,135.01543,33.49937
6,2025-09-07 11:30:00,135.02017,33.50054
6,2025-09-07 11:40:00,135.02469,33.501144
